Word,Previous Words,Next Words
Unity,No word here Publications Analogous,in the Writings
in,No word here No word here Unity,the Writings of
the,Analogous Unity in,Writings of John
of,in the Writings,John Duns Scotus
John,the Writings of,Duns Scotus Domenic
Duns,Writings of John,Scotus Domenic D'EttoreJournal
Domenic,John Duns Scotus,D'EttoreJournal History PhilosophyVolume
History,Scotus Domenic D'EttoreJournal,PhilosophyVolume Number Octoberpp-(Article)Published
Number,D'EttoreJournal History PhilosophyVolume,Octoberpp-(Article)Published by Johns
by,PhilosophyVolume Number Octoberpp-(Article)Published,Johns Hopkins University
Johns,Number Octoberpp-(Article)Published by,Hopkins University PressDOIFor
Hopkins,Octoberpp-(Article)Published by Johns,University PressDOIFor additional
University,by Johns Hopkins,PressDOIFor additional information
information,University PressDOIFor additional,about this articleFor
about,PressDOIFor additional information,this articleFor content
this,additional information about,articleFor content related
content,about this articleFor,related to articlehttps//doiorg//hphhttps//musejhuedu/article/https//musejhuedu/related_contenttype=article&id=*
to,articleFor content related,articlehttps//doiorg//hphhttps//musejhuedu/article/https//musejhuedu/related_contenttype=article&id=* D’Ettore is
is,to articlehttps//doiorg//hphhttps//musejhuedu/article/https//musejhuedu/related_contenttype=article&id=* D’Ettore,an associate professor
an,articlehttps//doiorg//hphhttps//musejhuedu/article/https//musejhuedu/related_contenttype=article&id=* D’Ettore is,associate professor philosophy
associate,D’Ettore is an,professor philosophy at
professor,is an associate,philosophy at Marian
philosophy,an associate professor,at Marian UniversityJournal
at,associate professor philosophy,Marian UniversityJournal Philosophyvolno()
Marian,professor philosophy at,UniversityJournal Philosophyvolno() –[]Analogous
four,D’ETTORE*abstract Aristotle identifies,modes unitynumericalspecificgenericand proportional
modes,Aristotle identifies four,unitynumericalspecificgenericand proportional or
or,modes unitynumericalspecificgenericand proportional,analogousRecent scholarship has
has,or analogousRecent scholarship,renewed Renaissance and
Renaissance,scholarship has renewed,and early Modern
and,has renewed Renaissance,early Modern Thomist
early,renewed Renaissance and,Modern Thomist critique
Modern,Renaissance and early,Thomist critique that
that,Modern Thomist critique,Scotus’s (d) doctrine
(d),critique that Scotus’s,doctrine univocity being
being,(d) doctrine univocity,based on a
based,doctrine univocity being,on a failure
on,univocity being based,a failure appreciate
a,being based on,failure appreciate unityThis
paper,failure appreciate unityThis,attempts fill gap
fill,unityThis paper attempts,gap copious literature
gap,paper attempts fill,copious literature presenting
literature,fill gap copious,presenting offering analysis
where,offering analysis texts,addresses topic analogous
topic,texts where addresses,analogous unityThe argues
argues,topic analogous unityThe,mature works consistently
works,unityThe argues mature,consistently reject notion
notion,works consistently reject,unity can serve
unity,consistently reject notion,can serve as
can,reject notion unity,serve as foundation
serve,notion unity can,as foundation for
as,unity can serve,foundation for greater
foundation,can serve as,for greater than
for,serve as foundation,greater than equivocal
greater,as foundation for,than equivocal between
than,foundation for greater,equivocal between conceptsand
developed,equivocal between conceptsand,position represents alternative
position,between conceptsand developed,represents alternative Aristotle’s
alternative,developed position represents,Aristotle’s division into
division,represents alternative Aristotle’s,into numericalspecificgenericand analogousNonethelessScotus’s
into,alternative Aristotle’s division,numericalspecificgenericand analogousNonethelessScotus’s remarks
provide,analogousNonethelessScotus’s remarks mind-independent,both internal justification
both,remarks mind-independent provide,internal justification dispute
over,ensues Thomists Scotists,whether single concept
single,Scotists over whether,concept signify analogously—a
concept,over whether single,signify analogously—a features
features,concept signify analogously—a,such distinguished participants
such,signify analogously—a features,distinguished participants Thomas
Thomas,such distinguished participants,de Vio Cajetan
de,distinguished participants Thomas,Vio Cajetan (–
Vio,participants Thomas de,Cajetan (– )
